Conference Acronym	Conference Name	Conference Location
Disaster Management 2015	4th International Conference on Disaster Management and Human Health: Reducing Risk, Improving Outcomes	Istanbul, Turkey
Sociable Smart City 2015	2nd International Workshop on Sociable Smart City	Prague, Czech Republic
ASONAM 2015	Advances in Social Networks Analysis and Mining	Paris, France
ISM 2015	IEEE International Symposium on Multimedia	Miami, Florida, USA
ICBO 2015	International Conference on Business Operations 2015 - Call for Papers	Prague, Czech Republic
ICDCST 2015	First International Conference on Data and Communication for Science, Technology and Society	Colombo
BIOKDD 2015	6th International Workshop on Biological Knowledge Discovery and Data Mining	Valencia, Spain
ISNEM@INCoS 2015	Special track on Intelligent Sensor Networks for Environmental Monitoring	Taipei, Taiwan
CMEM 2015	17th International Conference on Computational Methods and Experimental Measurements	Opatija, Croatia
SSTD 2015	14th International Symposium on Spatial and Temporal Databases	Seoul, South Korea
PAPIs.io 2015	The International Conference on Predictive APIs and Apps	Sydney, Australia
BigDataSE 2015	The 9th IEEE International Conference on Big Data Science and Engineering (IEEE BigDataSE-15)	Helsinki, Finland
LDMC - 15	2nd CfP: Linked Data Mining Challenge at Know@LOD / ESWC 2015	Portoroz, Slovenia
LDMC 2015	CfP: 3rd Linked Data Mining Challenge at Know@LOD / ESWC 2015	Portoroz, Slovenia
CIKM 2015	Call for Tutorials: The 24th ACM International Conference on Information and Knowledge Management (CIKM 2015)	Melbourne, VIC, Australia
HAIS 2015	International Conference on Hybrid Artificial Intelligence Systems (HAIS) 2015 - Final CFP	Bilbao
RuleLearning@RuleML 2015	Rule learning - a special track of RuleML 2015	Berlin, Germany
FUSION 2015	SS Data Mining and Knowledge Discover - Fusion 2015	Washington DC, USA
SNPD 2015	16th IEEE/ACIS International Conference on Software Engineering, Artificial Intelligence, Networking and Parallel/Distributed Computing	Takamatsu, Japan
EsPreSSE 2015	Estimation and Prediction in Software & Systems Engineering	Funchal, Madeira, Portugal
KDD 2015	21th ACM SIGKDD Conference on Knowledge Discovery and Data Mining	Sydney, Australia
MobiSocial 2015	3rd IEEE International Workshop on Mobile Data Management, Mining, and Computing on Social Networks	Pittsburgh, Pennsylvania, USA
CORES 2015	9th International Conference on Computer Recognition Systems	Wroclaw, Poland
MCS 2015	12th International Workshop on Multiple Classifier Systems	Ulm University, Germany
EDM 2015	Educational Data Mining	Madrid, Spain
BICOD 2015	30th British International Conference on Databases	Edinburgh, Scotland, UK
BigD2M 2015	Workshop on Big Data and Data Mining Challenges on IoT and Pervasive Systems	London, UK
SDM-BSA 2015	Big Data and Stream Analytics Workshop @ SIAM DATA MINING 2015	Vancouver, Canada
IFSA-EUSFLAT 2015	SS on Data Mining and Knowledge Discovery (30 June-3 July, Gijón, Spain)	Gijón, Spain
KES 2015	Theory and Applications of Forecasting - Invited Session	Sorrento Coast, Italy
NMRPC 2015	Nonstationary Models of Pattern Recognition and Classifier Combinations	Reykjavík, Iceland
BigScholar 2015	The Second WWW Workshop on Big Scholarly Data @ WWW 2015	Florence, Italy
WAIM 2015	The 16th International conference on Web-Age Information Management (WAIM2015)	Qingdao, Shandong, China
CogMan 2015	IFIP/IEEE Workshop on Cognitive Network and Service Management	Ottawa, Canada
MLRec 2015	1st International Workshop on Machine Learning Methods for Recommender Systems	British Columbia, Canada
ICDSST 2015	International Conference on Decision Support System Technology	Belgrade, Serbia
Big Data & Analytics - ANT 2015	Big Data and Analytics Track (ANT 2015)	London, UK
KES-IDT 2015	Theory and Applications of Forecasting - Invited Session - 2nd CALL FOR PAPERS	Sorrento Coast, Italy
ISSNIP 2015	CFP: The IEEE 10th International Conference on Intelligent Sensors, Sensor Networks and Information Processing (ISSNIP)	Singapore
MDM 2015	International Conference on Mobile Data Management	Pittsburgh, Pennsylvania, USA
ASONAM 2015	The 2015 IEEE/ACM International Conference on Advances in Social Networks Analysis and Mining	Paris, France
TFML 2015	Conference on Theoretical Foundations of Machine Learning 2015	Będlewo, Poland
PAKDD 2015	Pacific-Asia Conference on Knowledge Discovery and Data Mining	Ho Chi Minh City, Vietnam
FLAIRS-RS 2015	Florida Artificial Intelligence Research Society - RecSys Special Track	Hollywood, Florida, USA
ACTIVE 2017	First International Workshop on Data Management on Virtualized Active Systems (In Conjunction with the IEEE ICDE 2017)	San Diego, CA, USA
DMCIT-EI 2017	Ei&Scopus--2017 International Conference on Data Mining, Communications and Information Technology(DMCIT 2017)	Phuket, Thailand
ICCDA-Ei 2017	2017 International Conference on Compute and Data Analysis (ICCDA 2017)—SCOPUS & Ei Compendex	Lakeland, Florida, USA
SBD 2017	Semantic Big Data	Raleigh, USA
ADBIS - Workshops 2017	21st European Conference on Advances in Databases and Information Systems (ADBIS 2017) Workshops	Nicosia, Cyprus
ADBIS 2017	21st European Conference on Advances in Databases and Information Systems	Nicosia, Cyprus
CIKM 2017	The 26th 2017 ACM Conference on Information and Knowledge Management	Singapore
ICAITA 2016	Fifth International Conference on Advanced Information Technologies and Applications	Dubai, UAE
CCISP-EI 2016	2016 International Conference on Communication, Image and Signal Processing	Dubai, UAE
BTW 2017	The 17th Conference on Database Systems for Business, Technology, and Web	Stuttgart, Germany
SIGMOD 2017	2017 ACM SIGMOD Conference	Raleigh, USA
CITI 2016	2nd International Conference on Technologies and Innovation	Guayaquil, Ecuador
RuleML Challenge 2016	10th International Rule Challenge 2016	Stony Brook University, New York, USA
QDB 2016	VLDB Workshop on Quality in Databases	New Delhi, India
PQ 2016	Process Querying 2016	Rio de Janeiro, Brazil
SoCC 2016	ACM Symposium on Cloud Computing (SoCC) 2016	Santa Clara, California, USA
SISAP 2016	9th International Conference on Similarity Search and Applications	Tokyo, Japan
IEEE--ICCCBDA 2016	EI,IEEE--2016 International Conference on Cloud Computing and Big Data Analysis (ICCCBDA 2016)	Chengdu, Sichuan, China
APWeb 2016	Asia-Pacific Web Conference	Suzhou
CN4IoT 2016	2nd EAI International Conference on Cloud, Networking for IoT systems	Brindisi
GvDB 2016	27.GI-Workshop - Grundlagen von Datenbanken	Nörten-Hardenberg, Germany
IEEE--ICOIP 2016	2016 International Conference on Optoelectronics and Image Processing-(ICOIP 2016)--IEEE, Ei	Warsaw, Poland
ER 2016	Call for Papers: ER 2016 - The 35th International Conference on Conceptual Modeling	Gifu, Japan
DBKDA 2016	The Eighth International Conference on Advances in Databases, Knowledge, and Data Applications	Lisbon, Portugal
VLDB 2016	42nd international conference on very large data bases	New Delhi, India
Baltic DB&IS, DC 2016	Doctoral Consortium, 12th International Baltic Conference on Databases and Information Systems 2016	Riga, Latvia
BDAS 2016	12th (IEEE technically co-sponsored) International Conference Beyond Databases, Architectures and Structures	Ustron near Krakow, Poland
TRANSACT 2016	11th ACM SIGPLAN Workshop on Transactional Computing	Barcelona, Spain
SIGMOD 2016	ACM International Conference on Management of Data	San Francisco, CA, USA
ESAIR 2015	8th Workshop on Exploiting Semantic Annotations for Information Retrieval	Melbourne, VIC, Australia
SISAP 2015	8th International Conference on Similarity Search and Applications	Glasgow, Scotland, UK
SUM 2015	Ninth International Conference on Scalable Uncertainty Management	Quebec, Canada
KAM 2015	21st Conference on Knowledge Acquisition and Management	Łódź, Poland
COSIT 2015	12th International Conference on Spatial Information Theory	Santa Fe, New Mexico, USA.
DaWaK 2015	17th International Conference on Big Data Analytics and Knowledge Discovery - DaWaK 2015	Valencia, Spain
VLDB 2015	41st International Conference on Very Large Data Bases	Kohala Coast, Hawaii, USA
ADC 2015	Australasian Database Conference	Melbourne, VIC, Australia
IUPT 2015	The 5th International Symposium on Internet of Ubiquitous and Pervasive Things	London, UK
ADBIS - 2015	[ADBIS'2015]: Call for Workshop Proposals	Poitiers, France
DAPHNE 2015	International Workshop on Data (Co-)Processing on Heterogeneous Hardware	Brussels, Belgium
ICICS 2015	The 6th IEEE International Conference on Information and Communication Systems	Amman, Jordan
BDAS 2015	11th (IEEE technically co-sponsored) International Conference Beyond Databases, Architectures and Structures	Ustron near Krakow, Poland
DASFAA (Demo Track) 2015	The 20th International Conference on Database Systems for Advanced Applications (Demo Track)	Hanoi, VietNam
SIGMOD 2015	International Conference on Management of Data	Melbourne, VIC, Australia
DBDBD 2014	The Dutch-Belgian Database Day 2014	Antwerp, Belgium
SCDM 2014	2nd Scalable Cloud Data Management Workshop	Washington DC, USA
COMAD 2014	International Conference on Management of Data (COMAD)	Hyderabad, India
BBH 2014	The 2nd International Workshop of BigData in Bioinformatics and Healthcare Informatics	Washington DC, USA
IDAM 2014	The 4th Intelligent Data Analysis and Management	Kaohsiung, Taiwan
SDA 2014	4th International Workshop on Semantic Digital Archives (SDA)	London, UK
ICCIDM 2014	International Conference on Computational Intelligence in Data Mining, Springer	Odisha, India
ICDM 2014	IEEE International Conference on Data Mining	Shenzhen, China
ICDM 2014	[2nd Round CFP] ICDM '14: The 14th IEEE International Conference on Data Mining	Shenzhen, China
ODBASE 2014	The conference on Ontologies, DataBases, and Applications of Semantics for Large Scale Information Systems	Amantea, Calabria, Italy
FDSE 2014	The 1st International Conference on Future Data and Security Engineering 2014	Ho Chi Minh City, Vietnam
DAB 2014	3rd International Workshop on Data- and Artifact-Centric BPM	Haifa, Israel
BIRTE 2014	Eighth International Workshop on Real-Time Business Intelligence	Hangzhou, China
BigSys 2014	Workshop on System Software Support for Big Data	Stuttgart, Germany
SISAP (LNCS and IS Journal) 2014	7th International Conference on Similarity Search and Applications	Los Cabos, Mexico
GID 2014	ADBIS workshop on GPUs in Databases	Ohrid, Republic of Macedonia
EnviroInfo 2014	28th International Conference on Informatics for Environmental Protection	Oldenburg, Lower Saxony, Germany
SBBD 2014	Brazilian Symposium on Databases - JIDM articles	Curitiba, Brazil
JISBD 2014	Jornadas de Ingeniería del Software y Bases de Datos	Cádiz, Spain
APWeb 2014	Call for Demo: The 16th Asia-Pacific Web Conference	Changsha, China
PBDA 2014	Performance of Business Database Applications	Warsaw, Poland
DanaC 2014	Workshop on Data Analytics in the Cloud	Snowbird, Utah, USA
RDSS 2014	Workshop on Reliable Data Services and Systems	Snowbird, Utah, USA
GRADES 2014	GRAph Data-management Experiences and Systems	Snowbird, Utah, USA
ATGRC 2014	The International Workshop on Advanced Technologies for Governance, Risk and Compliance	Munich, Germany
WebDB 2014	International Workshop on the Web and Databases	Snowbird, Utah, USA
NoSQL-Net 2014	1st International Workshop on NoSQL Databases and Linked Data Applications	Munich, Germany
DaMoN 2014	Tenth International Workshop on Data Management on New Hardware	Snowbird, Utah, USA
HardBD 2014	The Second International Workshop on Big Data Management on Emerging Hardware	Macau, China
SEBD 2014	The 22nd Italian Symposium on Advanced Database Systems	Sorrento Coast, Italy
BUDA 2014	Workshop on Big Uncertain Data	Snowbird, Utah, USA
DSMM 2014	Workshop on Data Science for Macro-Modeling	Snowbird, Utah, USA
SWEET 2014	3rd International Workshop on Scalable Workflow Enactment Engines and Technologies	Snowbird, Utah, USA
DATA 2014	Int'l Conf. on Data Management Technologies and Applications	Vienna, Austria
DaWaK 2014	16th International Conference on Data Warehousing and Knowledge Discovery	Munich, Germany
AECM 2014	Workshop on Applied Enterprise Content Management	Munich, Germany
VLDB 2014	40th International Conference on Very Large Data Bases	Hangzhou, China
DC @ Baltic DB&IS 2014	Call for PhD Consortium - 11th International Baltic Conference on DB and IS, DB&IS2014 / June 9, 2014, Tallinn, ESTONIA	Tallinn, ESTONIA
Baltic DB&IS 2014	The 11th International Baltic Conference on Databases and Iinformation Systems, DB&IS2014	Tallinn, ESTONIA
IUPT 2014	The 4th International Symposium on Internet of Ubiquitous and Pervasive Things	Hasselt, Belgium
DILS 2014	10th International Conference on Data Integration in the Life Sciences	Lisbon, Portugal
SYRCoDIS 2014	The 10th Spring Researchers Colloquium on Databases and Information Systems	Veliky Novgorod, Russia
ADC 2014	The 25th Australasian Database Conference	Brisbane, Australia
MDM 2014	15th IEEE International Conference on Mobile Data Management	Brisbane, Australia
Graph-TA 2014	Workshop on Graph-based Technologies and Applications	Barcelona, Spain
iCICS 2014	The 5th IEEE International Conference on Information and Communication Systems	Irbid, Jordan
DEOS 2014	4th Workshop on Data Extraction and Object Search	Seoul, South Korea
BDAS 2014	10th IEEE International Conference Beyond Databases, Architectures and Structures	Ustron, Poland
DNIS 2014	9th International Workshop on Databases in Networked Information Systems	University of Aizu, Aizu-Wakamatsu, Japan
DMC 2014	International Workshop on Data Management in the Cloud	Chicago, Illinois, USA
EnDM 2014	3rd International Workshop on Energy Data Management	Athens, Greece
LWDM 2014	4th International Workshop on Linked Web Data Management	Athens, Greece
PODS 2014	33rd ACM SIGMOD-SIGACT-SIGART Symposium on Principles Of Database Systems	Snowbird, Utah, USA
GraphQ 2014	The Third International Workshop on Querying Graph Structured Data	Athens, Greece
NTMS 2014	Sixth IFIP International Conference on New Technologies, Mobility and Security	Dubai, UAE
SMDB 2014	9th International Workshop on Self-Managing Database Systems	Chicago, Illinois, USA
CloudDB 2014	The 6th International workshop on Cloud Data Management	Chicago, Illinois, USA
PAKDD (Tutorial) 2014	PAKDD 2014: CALL FOR TUTORIAL PROPOSALS	Tainan, Taiwan
GDM 2014	The 3rd International Workshop on Graph Data Management: Techniques and Applications	Chicago, Illinois, USA
EDBT/ICDT Tutorials 2014	EDBT/ICDT 2014 Call for Tutorials	Athens, Greece
DMS 2013	Fifth International conference on Database Management Systems	Zurich, Switzerland
DBDBD 2013	The Dutch-Belgian Database Day	Rotterdam, Netherlands
EDBT 2014	International Conference on Extending Database Technology	Athens, Greece
SITIS 2013	Special Session on CLOUD and VIRTUALIZED ENVIRONMENT Meet BIG DATA	Kyoto, Japan
FoIKS 2014	Eighth International Symposium on Foundations of Information and Knowledge Systems	Bordeaux, France
ICECIT 2013	International Conference on Emerging Computation & Information Technologies	Tumkur
DaEng 2013	The First International Conference on Advanced Data and Information Engineering - LNEE Springer	Kuala Lumpur, Malaysia
APCCM 2014	Tenth Asia-Pacific Conference on Conceptual Modelling	Auckland, New Zealand
APCCM 2013	The Ninth Asia-Pacific Conference on Conceptual Modelling	Adelaide, Australia
COMAD 2013	19th International Conference on Management of Data	Ahmedabad, India
ICIA 2013	The Second International Conference on Informatics and Applications	Łódź, Poland
TIDM 2013	The First International Workshop on TeraScale In-Core Data Mining	Dallas, Texas, USA
BiDaDA 2013	1st Workshop on Biological Data mining and Database Applications	Dallas, Texas, USA
SIN 2013	The 6th International Conference on Security of Information and Networks (SIN 2013)	Aksaray, Turkey
EDBT/ICDT Workshops 2014	EDBT/ICDT 2014 Call for Workshop Proposals	Athens, Greece
ICDE 2014	IEEE International Conference on Data Engineering	Chicago, Illinois, USA
SoCC 2013	ACM Symposium on Cloud Computing	San Jose, CA
BDSAV 2013	The 1st International Workshop on Big Data Storage, Analytics, and Visualization	Washington DC, USA
CloudDB 2013	The Fifth International workshop on Cloud Data Management	San Francisco, CA, USA
RWVW 2013	International Workshop on Predicting Real World Behaviors from Virtual World Data	Boston, MA, USA
DOLAP 2013	16th International Workshop on Data Warehousing and OLAP	Burlingame, CA, USA
NoCoDA 2013	2nd Intl Workshop on Non-Conventional Data-Access	San Francisco, CA, USA
DiPP 2013	International Conference on Digital Presentation and Preservation of Cultural and Scientific Heritage	Veliko Tarnovo, Bulgaria
Cloud-I 2013	2nd International Workshop on Cloud Intelligence	Riva del Garda, Trento, Italy
DBPL 2013	14th International Symposium on Database Programming Languages	Trento, Italy
PersDB 2013	The 7th International Workshop on Personalized Access, Profile Management, and Context Awareness in Databases	Riva del Garda, Trento, Italy
DBCrowd 2013	First VLDB Workshop on Databases and Crowdsourcing	Riva del Garda, Italy
QDB 2013	11th International Workshop on Quality in DataBases	Trento, Italy
BIRTE 2013	Seventh International Workshop on Real-Time Business Intelligence	Trento, Italy
IDEAS 2013	17th International Database Engineering & Applications Symposium	Barcelona, Spain
DAB 2013	2nd International Workshop on Data and Artifact-Centric BPM	Beijing, China
DIM 2013	The Second IEEE International Workshop on Data Integration and Mining	San Francisco, CA, USA
ISWC-InUse 2013	The 12th International Semantic Web Conference - In Use Track	Sydney, Australia
ODBASE 2013	The 12th International Conference on Ontologies, DataBases, and Applications of Semantics	Graz, Austria
CLEI 2013	XXXIX Conferencia Latinoamericana en Informática	Naiguatá, VENEZUELA
CLEI 2013	XXXIX Latin-American Conference on Computer Sciences	Naiguatá, VENEZUELA
CLTM 2013	LATIN-AMERICAN MASTER THESIS CONTEST	Naiguatá, VENEZUELA
CIESC 2013	XXI Iberoamerican Congress on Higher Education in Computing	Naiguatá, VENEZUELA
BiDaTA 2013	Adbis Special session on Big Data: New Trends and Applications	Genoa, Italy
CSE 2013	The International Workshop on Cloud and Service Engineering	Aalborg, Denmark
ICDIM 2013	Eighth International Conference on Digital Information Management	Islamabad
RSmeetDB 2013	3rd Workshop on Recommender Systems meet Databases	Prague, Czech Republic
MEDI 2013	Third International Conference On Model and Data Engineering	Amantea, Calabria, Italy
SoEA4EE 2013	The Fifth Workshop on Service oriented Enterprise Architecture for Enterprise Engineering	Vancouver, Canada
SEBD 2013	21th Italian Symposium on Advanced Database Systems	Roccella Jonica, RC, Italy
IMDM 2013	First Workshop on In-Memory Data Management - Applications and Architectures	Koblenz, Germany
GRADES 2013	Graph Data-management Experiences and Systems	New York, USA
CPS 2013	Special Session on Cooperative Problem Solving	Craiova, Romania
MobiDE 2013	12th International ACM Workshop on Data Engineering for Wireless and Mobile Access	New York, USA
DEXA 2013	24th International Conference on Database and Expert Systems Applications	Prague, Czech Republic
DaWaK 2013	15th International Conference on Data Warehousing and Knowledge Discovery	Prague, Czech Republic
DBSocial 2013	ACM SIGMOD Workshop on Databases and Social Networks (DBSocial) 2013	New York, USA
DaMoN 2013	Ninth International Workshop on Data Management on New Hardware	New York, USA
SWEET 2013	2nd International Workshop on Scalable Workflow Enactment Engines and Technologies	New York, USA
WOD 2013	2nd International Workshop on Open Data	Paris, France
WebDB 2013	16th International Workshop on the Web and Databases	New York, USA
DEOS 2013	Workshop on Data Extraction and Object Search	Oxford, UK
DyNetMM 2013	First SIGMOD/PODS Workshop on Dynamic Networks Management and Mining	New York, USA
SSTD 2013	13th International Symposium on Spatial and Temporal Databases	Munich, Germany
VLDB 2013	International Conference on Very Large Data Bases	Lago Di Garda, Trento, Italy
miproBIS 2013	Business Intelligence Systems	Opatija, Croatia
DILS 2013	The Ninth International Conference on Data Integration in the Life Sciences 2013	Montréal, Canada
iCICS 2013	The 4th International Conference on Information and Communication Systems	Irbid, Jordan
BNCOD 2013	29th British National Conference on Databases	University of Oxford, UK
ICWS 2013	IEEE 20th International Conference on Web Services	Santa Clara, California, USA
AMW 2013	The 7th Alberto Mendelzon International Workshop on Foundations of Data Management	Puebla, Cholula, Mexico
SYRCoDIS 2013	The Ninth Spring Researchers Colloquium on Databases and Information Systems 2013	Kazan, Russia
DMC 2013 at BTW 2013	1st Workshop on Data Management in the Cloud	Magdeburg, Germany
BDAS 2013	IX Konferencja Naukowa Bazy Danych - Aplikacje i Systemy	Ustron, Poland
PAIS 2013	6th International Workshop on Privacy and Anonymity in the Information Society	Genoa, Italy
DaMEN 2013	The Second International Workshop on Data Management for Emerging Network Infrastructure	Sydney, Australia
GraphQ 2013	The Second International Workshop on Querying Graph Structured Data	Genoa, Italy
EnDM 2013	Workshop on Energy Data Management at EDBT	Genoa, Italy
EnDM@EDBT 2013	Workshop on Energy Data Management	Genoa, Italy
BEWEB 2013	4th International Workshop on Business IntelligencE and the Web	Genoa, Italy
BIGProv 2013	International Workshop on Managing and Querying Provenance Data at Scale	Genoa, Italy
PODS 2013	32nd ACM SIGMOD-SIGACT-SIGART Symposium on Principles Of Database Systems	New York, USA
DNIS 2013	8th International Workshop on Databases in Networked Information Systems	University of Aizu, Aizu-Wakamatsu, Japan
BDI 2013	International Symposium on Biomedical Data infrastructure	Kuala Lumpur, Malaysia
SMDB 2013	8th International Workshop on Self-Managing Database Systems	Brisbane, Australia
SIGMOD 2013	ACM SIGMOD International Conference on Management of Data	New York, USA
ACIIDS 2013	Special Session on Intelligent Recommended Systems	Kuala Lumpur, Malaysia
DASFAA 2013	The 18th International Conference on Database Systems for Advanced Applications	Wuhan, China
PrivDB 2013	First International Workshop on Privacy-Preserving Data Publication and Analysis	Brisbane, Australia
CICCI 2013	2nd International Conference on Informatics and Computer Sciences	La Habana, Cuba
EDBT 2013	International Conference on Extending Database Technology	Genoa, Italy
DBDBD 2012	The Dutch Belgian Database Day	Brussels, Belgium
GDM 2013	The 4th International Workshop on Graph Data Management: Techniques and Applications	Brisbane, Australia
ASIIS (ACM SAC) 2013	ACM SAC - Track on ADVANCES IN SPATIAL AND IMAGE-BASED INFORMATION SYSTEMS (ASIIS 13)	Coimbra, Portugal
ACM - DTTA Track 2013	ACM Scientific Applications Conference - Database Theory, Technology and Applications Track	Coimbra, Portugal
PDAC 2012	3rd International Workshop on Petascale Data Analytics: Challenges and Opportunities	Salt Lake City, Utah, USA
NetSys PhD Forum 2013	The Conference on Networked Systems PhD Forum	Stuttgart, Germany
ICDT 2013	16th International Conference on Database Theory	Genoa, Italy
COMAD 2012	18th International Conference on Management of Data	Pune, India
CIDR 2013	6th BIENNIAL CONFERENCE ON INNOVATIVE DATA SYSTEMS RESEARCH	Asilomar, California
CSE 2012	The 15th IEEE International Conference on Computational Science and Engineering	Paphos, Cyprus
C-Big 2012	International Workshop on Collaborative Big Data	Pittsburgh, Pennsylvania, USA
CDMW 2012	City Data Management Workshop 2012 in conj. with CIKM 2012	Maui, Hawaii, USA
ICDE 2013	29TH INTERNATIONAL CONFERENCE ON DATA ENGINEERING	Brisbane, Australia
Oriental COCOSDA 2012	International Conference on Speech Database and Assessments	Macau, China
ICE-B 2012	International Conference on e-Business	Rome, Italy
INTECH 2012	The Second International Conference on Innovative Computing Technology	Rabat
CloudDB 2012	The Fourth International Workshop on Cloud Data Management	Maui, Hawaii, USA
WISE 2012	The 13th International Conference on Web Information System Engineering	Paphos, Cyprus
SoDAC 2012	INNS Symposium on Data Analytics and Competitions	Bangkok, Thailand
SOCC 2012	ACM Symposium on Cloud Computing	San Jose, CA
CIKM Posters 2012	Posters: 21st ACM International Conference on Information and Knowledge Management	Maui, USA
BIRTE 2012	VLDB12 Workshop on Real-Time Business Intelligence	Istanbul, Turkey
BIGDATA 2012	Workshop on End-to-End Management of Big Data	Istanbul, Turkey
NISTBigData 2012	NIST Big Data Workshop	Gaithersburg, MD, USA
QDB 2012	10th International Workshop on Quality in DataBases	Istanbul, Turkey
SBBD 2012	27th Brazilian Symposium on Database	Sao Paulo, Brazil
ECAI AIL 2012	Workshop on Active and Incremental Learning	Montpellier, France
IASIM 2012	Special Session on Intelligent Agents & Simulation	Rome, Italy
CIKM 2012	21st ACM International Conference on Information and Knowledge Management	Maui, USA
SDM 2012	9th VLDB Workshop on Secure Data Management	Istanbul, Turkey
EDB 2012	The fourth International Conference on Emerging Databases - Technologies, Applications, and Theory	Seoul, South Korea
IDEAS 2012	16th International Database Engineering & Applications Symposium	Prague, Czech Republic
SOMOCO 2012	International Workshop on SOcial and MObile COmputing for collaborative environments	Rome, Italy
PersDB 2012	Sixth International Workshop on Personalized Access, Profile Management, and Context Awareness in Databases	Istanbul, Turkey
MDDE 2012	The First International Workshop on Multimedia Databases and Data Engineering	Istanbul, Turkey
DBRank 2012	Sixth International Workshop on Ranking in Databases	Instabul, Turkey
MCSD 2012	Mining Complex and Stream Data, MCSD 12	Poznan, Poland
MDSP 2012	The 1st International Workshop on Massive Data Storage and Processing	Harbin, China
NIMD 2012	Networking Implantable Medical Devices	Rome, Italy
ECDM 2012	Sixth International Workshop On Evolution And Change In Data Management	Florence, Italy
SUM 2012	Sixth International Conference on Scalable Uncertainty Management	Marburg, Germany
CISIM 2012	11th International Conference on Computer Information Systems and Industrial Management Applications	Venice, Italy
JISBD 2012	XVII Jornadas de Ingeniería del Software y Bases de Datos	Almería, Spain
XMLDM 2012	The Third International Workshop on XML Data Management	Harbin, China
DATA 2012	International Conference on Data Technologies and Applications	Rome, Italy
DIM 2012	IEEE International Workshop on Data Integration and Mining	Las Vegas, Nevada, USA
DBLM 2012	International Workshop on Database Technology for Life Sciences and Medicine	Vienna, Austria
MEDI 2012	2nd International Conference On Model and Data Engineering	Poitiers, France
HDMS 2012	2012 The Hellenic Data Management Symposium	Chania, Crete, Greece
MORE-BI 2012	2nd Int. Workshop on Modeling and Reasoning for Business Intelligence (MORE-BI 2012) at ER 2012	Florence, Italy
SEBD 2012	20th Italian Symposium on Advanced Database Systems	Venice, Italy
DaWaK 2012	14th International Conference on Data Warehousing and Knowledge Discovery	Vienna, Austria
SISAP 2012	5th International Conference on Similarity Search and Applications	Toronto, Canada
RSmeetDB 2012	2nd Workshop on Recommender Systems meet Databases	Vienna, Austria
BalticDB&IS 2012	10th International Baltic Conference on Data Bases and Information Systems	Vilnius, Lithuania
DBTest 2012	Fifth International Workshop on Testing Database Systems	Scottsdale, Arizona, USA
SYRCoDIS 2012	The Eighth Spring Researchers Colloquium on Databases and Information Systems	Moscow, Russia
DBSocial 2012	Second ACM SIGMOD Workshop on Databases and Social Networks	Scottsdale, Arizona, USA
WebDB 2012	15th International Workshop on the Web and Databases	Scottsdale, Arizona, USA
WOD 2012	First International Workshop on Open Data	Nantes, France
DCNET 2012	International Conference on Data Communication Networking	Rome, Italy
AMW 2012	6th ALBERTO MENDELZON INTERNATIONAL WORKSHOP ON FOUNDATIONS OF DATA MANAGEMENT	Ouro Preto, Brazil
VLDB 2012	38th International Conference on Very Large Databases	Istanbul, Turkey
MobiDE 2012	11th International ACM Workshop on Data Engineering for Wireless and Mobile Access	Scottsdale, Arizona, USA
VAST 2012	2nd Int'l Workshop on Variability-intensive Systems Testing, Validation & Verification	Montréal, Canada
SSDBM 2012	24th International Conference on Scientific and Statistical Database Management	Chania, Crete, Greece
BDAS 2012	Bazy Danych - Aplikacje i Systemy	Ustron, Poland
NEDB Summit 2012	Fifth Annual New England Database Summit	Cambridge, MA, USA
FlashDB 2012	The Second International Workshop on Flash-based Database Systems	Busan, South Korea
MDM 2012	13th IEEE International Conference on Mobile Data Management	Bangalore, India
KES-IDT 2012	4th KES International Conference on Intelligent Decision Technologies	Gifu, Japan
PODS 2012	31st ACM SIGMOD-SIGACT-SIGART Symposium on Principles of Database Systems	Scottsdale, Arizona, USA
AIKED 2012	11th WSEAS International Conference on ARTIFICIAL INTELLIGENCE, KNOWLEDGE ENGINEERING and DATA BASES	Cambridge, UK
SMDB 2012	Seventh International Workshop on Self-Managing Database Systems	Washington DC, USA
DMC 2012	The 1st International Workshop on Data Management in the Cloud	Washington DC, USA
DBDBD 2011	The Dutch Belgian Database Day	University of Twente, The Netherlands
SIGMOD 2012	2012 ACM SIGMOD International Conference on Management of Data	Scottsdale, Arizona, USA
SDMSM 2012	ICDE Workshop on Secure Data Management on Smart Phones and Mobile Devices	Washington DC, USA
STIR 2012	ICDE 2012 Workshop on Spatio Temporal data Integration and Retrieval	Washington DC, USA
GDM 2012	The 3rd International Workshop on Graph Data Management: Techniques and Applications	Washington DC, USA
HIS 2012	The 1st International Conference on Health Information Science	Beijing, China
DBKDA 2012	The Fourth International Conference on Advances in Databases, Knowledge, and Data Applications	Reunion Island
ISCI 2012	2012 IEEE Symposium on Computers & Informatics	Penang, Malaysia
D-CLOUD 2011	The 2011 International Workshop on Data Cloud	Hong Kong, China
ACIIDS 2012	The 4th Asian Conference on Intelligent Information and Database Systems	Kaohsiung, Taiwan
XLDB 2011	5th Extremely Large Databases Conference	Menlo Park, CA
ADC 2012	Australasian Database Conference	Melbourne, VIC, Australia
HPCDB 2011	1st Workshop on High Performance Computing Meets Databases	Seattle, WA, USA
DNIS 2011	7th International Workshop on Databases in Networked Information Systems	Aizu-Wakamatsu, Fukushima, Japan
COMAD 2011	The 17th International Conference on Management of Data	Bangalore, India
